time	V(buffer_out)
0.000000000000000e+000	5.982166e-001
1.000000016862384e-016	5.982166e-001
2.000000033724767e-016	5.982166e-001
4.000000067449534e-016	5.982166e-001
8.000000134899068e-016	5.982166e-001
1.600000026979814e-015	5.982166e-001
6.400000107919255e-015	5.982166e-001
3.033065143173810e-010	5.982164e-001
6.066066286346541e-010	5.982163e-001
9.099067429519272e-010	5.982165e-001
1.213206857269200e-009	5.982168e-001
1.516506971586473e-009	5.982172e-001
1.819807085903746e-009	5.982179e-001
2.123107200221019e-009	5.982187e-001
2.285964343078164e-009	5.982195e-001
2.448821485935310e-009	5.982206e-001
2.611678628792456e-009	5.982220e-001
2.774535771649601e-009	5.982238e-001
2.937392914506747e-009	5.982258e-001
3.100250057363893e-009	5.982282e-001
3.263107200221038e-009	5.982310e-001
3.391678628792466e-009	5.982335e-001
3.520250057363895e-009	5.982363e-001
3.648821485935323e-009	5.982395e-001
3.777392914506751e-009	5.982430e-001
3.905964343078180e-009	5.982469e-001
4.034535771649608e-009	5.982511e-001
4.163107200221036e-009	5.982556e-001
4.291678628792461e-009	5.982605e-001
4.420250057363887e-009	5.982659e-001
4.548821485935313e-009	5.982717e-001
4.677392914506738e-009	5.982780e-001
4.805964343078164e-009	5.982847e-001
4.934535771649589e-009	5.982919e-001
5.063107200221014e-009	5.982995e-001
5.295964343078152e-009	5.983145e-001
5.528821485935289e-009	5.983312e-001
5.761678628792426e-009	5.983497e-001
5.994535771649563e-009	5.983699e-001
6.227392914506701e-009	5.983919e-001
6.460250057363838e-009	5.984157e-001
6.693107200220975e-009	5.984412e-001
6.780250057363830e-009	5.984512e-001
6.867392914506685e-009	5.984615e-001
6.954535771649540e-009	5.984721e-001
7.041678628792395e-009	5.984829e-001
7.128821485935250e-009	5.984940e-001
7.215964343078106e-009	5.985053e-001
7.303107200220960e-009	5.985169e-001
7.373107200220959e-009	5.985264e-001
7.443107200220957e-009	5.985361e-001
7.513107200220955e-009	5.985459e-001
7.583107200220953e-009	5.985559e-001
7.653107200220952e-009	5.985660e-001
7.723107200220950e-009	5.985763e-001
7.793107200220948e-009	5.985868e-001
7.855964343078090e-009	5.985963e-001
7.918821485935230e-009	5.986060e-001
7.981678628792372e-009	5.986158e-001
8.044535771649514e-009	5.986258e-001
8.107392914506656e-009	5.986358e-001
8.170250057363796e-009	5.986460e-001
8.233107200220938e-009	5.986563e-001
8.300250057363793e-009	5.986674e-001
8.367392914506650e-009	5.986787e-001
8.434535771649505e-009	5.986901e-001
8.501678628792360e-009	5.987017e-001
8.568821485935216e-009	5.987134e-001
8.635964343078071e-009	5.987252e-001
8.703107200220926e-009	5.987372e-001
8.778821485935210e-009	5.987508e-001
8.854535771649494e-009	5.987647e-001
8.930250057363778e-009	5.987786e-001
9.005964343078062e-009	5.987928e-001
9.081678628792346e-009	5.988071e-001
9.157392914506630e-009	5.988216e-001
9.233107200220914e-009	5.988362e-001
9.317392914506627e-009	5.988527e-001
9.401678628792338e-009	5.988694e-001
9.485964343078051e-009	5.988863e-001
9.570250057363762e-009	5.989033e-001
9.654535771649475e-009	5.989206e-001
9.738821485935186e-009	5.989380e-001
9.823107200220899e-009	5.989556e-001
9.855964343078042e-009	5.989625e-001
9.888821485935183e-009	5.989694e-001
9.921678628792325e-009	5.989763e-001
9.954535771649468e-009	5.989833e-001
9.987392914506610e-009	5.989903e-001
1.002025005736375e-008	5.989973e-001
1.005310720022089e-008	5.990044e-001
1.006310720022089e-008	5.990066e-001
1.010882148593518e-008	5.990164e-001
1.015453577164946e-008	5.990263e-001
1.020025005736375e-008	5.990363e-001
1.024596434307803e-008	5.990463e-001
1.029167862879232e-008	5.990564e-001
1.033739291450660e-008	5.990665e-001
1.038310720022089e-008	5.990766e-001
1.041882148593517e-008	5.990846e-001
1.045453577164946e-008	5.990926e-001
1.049025005736374e-008	5.991006e-001
1.052596434307803e-008	5.991086e-001
1.056167862879231e-008	5.991167e-001
1.059739291450660e-008	5.991247e-001
1.063310720022088e-008	5.991328e-001
1.066453577164945e-008	5.991400e-001
1.069596434307802e-008	5.991472e-001
1.072739291450659e-008	5.991544e-001
1.075882148593516e-008	5.991616e-001
1.079025005736373e-008	5.991688e-001
1.082167862879230e-008	5.991761e-001
1.085310720022087e-008	5.991833e-001
1.088025005736373e-008	5.991896e-001
1.090739291450659e-008	5.991959e-001
1.093453577164944e-008	5.992023e-001
1.096167862879230e-008	5.992086e-001
1.098882148593516e-008	5.992149e-001
1.101596434307801e-008	5.992213e-001
1.104310720022087e-008	5.992277e-001
1.106739291450658e-008	5.992334e-001
1.109167862879230e-008	5.992391e-001
1.111596434307801e-008	5.992448e-001
1.114025005736372e-008	5.992506e-001
1.116453577164944e-008	5.992563e-001
1.118882148593515e-008	5.992621e-001
1.121310720022087e-008	5.992678e-001
1.124310720022087e-008	5.992750e-001
1.127310720022086e-008	5.992821e-001
1.130310720022086e-008	5.992893e-001
1.133310720022086e-008	5.992965e-001
1.136310720022086e-008	5.993037e-001
1.143739291450658e-008	5.993215e-001
1.151167862879229e-008	5.993395e-001
1.158596434307800e-008	5.993575e-001
1.166025005736371e-008	5.993756e-001
1.173453577164943e-008	5.993938e-001
1.180882148593514e-008	5.994120e-001
1.188310720022085e-008	5.994304e-001
1.196167862879228e-008	5.994498e-001
1.204025005736370e-008	5.994693e-001
1.211882148593513e-008	5.994889e-001
1.219739291450656e-008	5.995086e-001
1.227596434307798e-008	5.995283e-001
1.235453577164941e-008	5.995481e-001
1.243310720022084e-008	5.995679e-001
1.254739291450655e-008	5.995969e-001
1.266167862879226e-008	5.996260e-001
1.277596434307797e-008	5.996551e-001
1.289025005736368e-008	5.996843e-001
1.300453577164939e-008	5.997136e-001
1.311882148593511e-008	5.997430e-001
1.323310720022082e-008	5.997725e-001
1.325167862879225e-008	5.997773e-001
1.327025005736367e-008	5.997821e-001
1.328882148593510e-008	5.997869e-001
1.330739291450653e-008	5.997917e-001
1.332596434307796e-008	5.997965e-001
1.334453577164939e-008	5.998013e-001
1.336310720022081e-008	5.998061e-001
1.338310720022081e-008	5.998113e-001
1.340310720022081e-008	5.998164e-001
1.341310720022081e-008	5.998190e-001
1.342310720022081e-008	5.998216e-001
1.343310720022081e-008	5.998242e-001
1.344310720022081e-008	5.998268e-001
1.345310720022081e-008	5.998294e-001
1.346310720022081e-008	5.998319e-001
1.347310720022081e-008	5.998346e-001
1.348310720022081e-008	5.998371e-001
1.349310720022081e-008	5.998397e-001
1.350310720022081e-008	5.998423e-001
1.351310720022081e-008	5.998449e-001
1.352310720022081e-008	5.998475e-001
1.353310720022081e-008	5.998501e-001
1.354310720022081e-008	5.998527e-001
1.355310720022081e-008	5.998553e-001
1.356310720022081e-008	5.998579e-001
1.357310720022081e-008	5.998605e-001
1.358310720022081e-008	5.998631e-001
1.359310720022081e-008	5.998657e-001
1.360310720022081e-008	5.998682e-001
1.361310720022081e-008	5.998709e-001
1.362310720022081e-008	5.998734e-001
1.363310720022081e-008	5.998760e-001
1.364310720022081e-008	5.998786e-001
1.365310720022081e-008	5.998812e-001
1.366310720022081e-008	5.998838e-001
1.367310720022081e-008	5.998864e-001
1.368310720022081e-008	5.998890e-001
1.369310720022081e-008	5.998916e-001
1.370310720022081e-008	5.998942e-001
1.371310720022081e-008	5.998968e-001
1.372310720022081e-008	5.998994e-001
1.373310720022081e-008	5.999020e-001
1.374310720022081e-008	5.999046e-001
1.376310720022080e-008	5.999098e-001
1.378310720022080e-008	5.999150e-001
1.381310720022080e-008	5.999228e-001
1.383453577164937e-008	5.999283e-001
1.385596434307795e-008	5.999339e-001
1.387739291450652e-008	5.999395e-001
1.389882148593509e-008	5.999451e-001
1.392025005736366e-008	5.999506e-001
