time	V(buffer_out)
0.000000000000000e+000	5.982166e-001
1.000000016862384e-016	5.982166e-001
2.000000033724767e-016	5.982166e-001
4.000000067449534e-016	5.982166e-001
8.000000134899068e-016	5.982166e-001
1.600000026979814e-015	5.982166e-001
6.400000107919255e-015	5.982166e-001
3.018779428888095e-010	5.982164e-001
6.037494857775111e-010	5.982163e-001
9.056210286662127e-010	5.982165e-001
1.207492571554914e-009	5.982168e-001
1.509364114443616e-009	5.982172e-001
1.811235657332317e-009	5.982179e-001
2.113107200221018e-009	5.982187e-001
2.275964343078164e-009	5.982195e-001
2.438821485935310e-009	5.982206e-001
2.601678628792456e-009	5.982220e-001
2.764535771649601e-009	5.982238e-001
2.927392914506747e-009	5.982259e-001
3.090250057363893e-009	5.982283e-001
3.253107200221038e-009	5.982311e-001
3.380250057363895e-009	5.982336e-001
3.507392914506752e-009	5.982365e-001
3.634535771649609e-009	5.982397e-001
3.761678628792466e-009	5.982433e-001
3.888821485935323e-009	5.982472e-001
4.015964343078180e-009	5.982515e-001
4.143107200221036e-009	5.982561e-001
4.268821485935319e-009	5.982611e-001
4.394535771649602e-009	5.982666e-001
4.520250057363885e-009	5.982725e-001
4.645964343078168e-009	5.982788e-001
4.771678628792450e-009	5.982857e-001
4.897392914506733e-009	5.982930e-001
5.023107200221015e-009	5.983008e-001
5.255964343078153e-009	5.983164e-001
5.488821485935290e-009	5.983342e-001
5.721678628792427e-009	5.983540e-001
5.954535771649564e-009	5.983758e-001
6.187392914506702e-009	5.983998e-001
6.420250057363839e-009	5.984258e-001
6.653107200220976e-009	5.984538e-001
6.738821485935260e-009	5.984648e-001
6.824535771649543e-009	5.984761e-001
6.910250057363827e-009	5.984877e-001
6.995964343078111e-009	5.984996e-001
7.081678628792394e-009	5.985118e-001
7.167392914506678e-009	5.985243e-001
7.253107200220961e-009	5.985372e-001
7.323107200220960e-009	5.985480e-001
7.393107200220958e-009	5.985590e-001
7.463107200220956e-009	5.985702e-001
7.533107200220955e-009	5.985816e-001
7.603107200220953e-009	5.985932e-001
7.673107200220951e-009	5.986050e-001
7.743107200220950e-009	5.986171e-001
7.797392914506663e-009	5.986266e-001
7.851678628792375e-009	5.986363e-001
7.905964343078089e-009	5.986460e-001
7.960250057363801e-009	5.986560e-001
8.014535771649515e-009	5.986660e-001
8.068821485935228e-009	5.986762e-001
8.123107200220940e-009	5.986865e-001
8.187392914506654e-009	5.986989e-001
8.251678628792366e-009	5.987115e-001
8.315964343078079e-009	5.987242e-001
8.380250057363791e-009	5.987372e-001
8.444535771649504e-009	5.987503e-001
8.508821485935218e-009	5.987637e-001
8.573107200220930e-009	5.987772e-001
8.644535771649500e-009	5.987925e-001
8.715964343078069e-009	5.988079e-001
8.787392914506639e-009	5.988237e-001
8.858821485935208e-009	5.988396e-001
8.930250057363778e-009	5.988558e-001
9.001678628792348e-009	5.988722e-001
9.073107200220918e-009	5.988888e-001
9.151678628792344e-009	5.989074e-001
9.230250057363770e-009	5.989263e-001
9.308821485935197e-009	5.989454e-001
9.387392914506625e-009	5.989648e-001
9.465964343078051e-009	5.989845e-001
9.544535771649478e-009	5.990045e-001
9.623107200220904e-009	5.990247e-001
9.678821485935188e-009	5.990392e-001
9.734535771649473e-009	5.990539e-001
9.790250057363757e-009	5.990686e-001
9.845964343078042e-009	5.990836e-001
9.901678628792326e-009	5.990986e-001
9.957392914506611e-009	5.991138e-001
1.001310720022090e-008	5.991292e-001
1.006310720022089e-008	5.991431e-001
1.010167862879232e-008	5.991539e-001
1.014025005736375e-008	5.991647e-001
1.017882148593518e-008	5.991756e-001
1.021739291450661e-008	5.991866e-001
1.025596434307803e-008	5.991977e-001
1.029453577164946e-008	5.992088e-001
1.033310720022089e-008	5.992199e-001
1.036453577164946e-008	5.992291e-001
1.039596434307803e-008	5.992383e-001
1.042739291450660e-008	5.992475e-001
1.045882148593517e-008	5.992567e-001
1.049025005736374e-008	5.992660e-001
1.052167862879231e-008	5.992754e-001
1.055310720022088e-008	5.992848e-001
1.058025005736374e-008	5.992929e-001
1.060739291450660e-008	5.993011e-001
1.063453577164945e-008	5.993093e-001
1.066167862879231e-008	5.993176e-001
1.068882148593516e-008	5.993258e-001
1.071596434307802e-008	5.993341e-001
1.074310720022088e-008	5.993425e-001
1.076882148593516e-008	5.993504e-001
1.079453577164945e-008	5.993583e-001
1.082025005736373e-008	5.993663e-001
1.084596434307802e-008	5.993743e-001
1.087167862879230e-008	5.993823e-001
1.089739291450659e-008	5.993904e-001
1.092310720022087e-008	5.993984e-001
1.095310720022087e-008	5.994079e-001
1.098310720022087e-008	5.994174e-001
1.101310720022087e-008	5.994269e-001
1.104310720022087e-008	5.994365e-001
1.107310720022087e-008	5.994461e-001
1.110310720022087e-008	5.994558e-001
1.113310720022087e-008	5.994654e-001
1.116310720022087e-008	5.994751e-001
1.123025005736372e-008	5.994970e-001
1.129739291450658e-008	5.995191e-001
1.136453577164943e-008	5.995413e-001
1.143167862879229e-008	5.995637e-001
1.149882148593514e-008	5.995862e-001
1.156596434307800e-008	5.996090e-001
1.163310720022086e-008	5.996319e-001
1.178025005736371e-008	5.996828e-001
1.192739291450656e-008	5.997344e-001
1.207453577164942e-008	5.997867e-001
1.222167862879227e-008	5.998398e-001
1.236882148593513e-008	5.998937e-001
1.251596434307798e-008	5.999483e-001
1.266310720022083e-008	6.000037e-001
1.272025005736369e-008	6.000253e-001
1.277739291450654e-008	6.000471e-001
1.283453577164940e-008	6.000690e-001
1.289167862879225e-008	6.000910e-001
1.294882148593511e-008	6.001131e-001
1.300596434307797e-008	6.001353e-001
1.306310720022082e-008	6.001576e-001
1.308310720022082e-008	6.001654e-001
1.310310720022082e-008	6.001733e-001
1.311310720022082e-008	6.001772e-001
1.312310720022082e-008	6.001812e-001
1.313310720022082e-008	6.001851e-001
1.314310720022082e-008	6.001890e-001
1.315310720022082e-008	6.001930e-001
1.316310720022082e-008	6.001969e-001
1.317310720022082e-008	6.002008e-001
1.318310720022082e-008	6.002048e-001
1.319310720022082e-008	6.002087e-001
1.320310720022082e-008	6.002127e-001
1.321310720022082e-008	6.002166e-001
1.322310720022082e-008	6.002206e-001
1.323310720022082e-008	6.002246e-001
1.324310720022082e-008	6.002285e-001
1.325310720022082e-008	6.002325e-001
1.326310720022082e-008	6.002364e-001
1.327310720022082e-008	6.002404e-001
1.328310720022082e-008	6.002444e-001
1.329310720022082e-008	6.002483e-001
1.330310720022082e-008	6.002523e-001
1.331310720022082e-008	6.002563e-001
1.332310720022082e-008	6.002603e-001
1.333310720022082e-008	6.002643e-001
1.334310720022081e-008	6.002683e-001
1.335310720022081e-008	6.002723e-001
1.336310720022081e-008	6.002763e-001
1.337310720022081e-008	6.002803e-001
1.338310720022081e-008	6.002843e-001
1.339310720022081e-008	6.002883e-001
1.340310720022081e-008	6.002923e-001
1.341310720022081e-008	6.002963e-001
1.342310720022081e-008	6.003003e-001
1.343310720022081e-008	6.003044e-001
1.344310720022081e-008	6.003084e-001
1.345310720022081e-008	6.003124e-001
1.347310720022081e-008	6.003205e-001
1.349310720022081e-008	6.003285e-001
1.352310720022081e-008	6.003407e-001
1.354596434307795e-008	6.003499e-001
1.356882148593509e-008	6.003592e-001
1.359167862879224e-008	6.003684e-001
1.361453577164938e-008	6.003777e-001
1.363739291450652e-008	6.003870e-001
1.366025005736366e-008	6.003964e-001
1.368310720022081e-008	6.004057e-001
1.391739291450653e-008	6.005024e-001
1.415167862879224e-008	6.006004e-001
1.438596434307796e-008	6.006996e-001
1.462025005736368e-008	6.008000e-001
1.485453577164940e-008	6.009017e-001
1.508882148593512e-008	6.010046e-001
1.532310720022084e-008	6.011087e-001
1.551882148593515e-008	6.011965e-001
